sep=,
timestamp,direction,data
1773922541.6239967,RX,1;0;2;7200;4;2;1
1773922551.1949139,RX,1;0;3;7200;4;2;1
1773922551.3494787,TX,1;2;4;0
1773922551.403368,RX,1;2;4;0;0;0
1773922560.0349205,TX,1;2;6;2
1773922560.1031914,RX,1;2;6;2;0;0
1773922618.4159954,TX,1;2;5;1
1773922618.4393697,RX,1;3;5;1;0;0
1773922622.4699655,TX,1;2;6;2
1773922622.543344,RX,1;2;6;2;0;0
1773922708.716587,TX,1;2;5;0
1773922708.7397962,RX,1;3;5;0;0;0
1773922723.8544471,TX,1;2;6;2
1773922723.9269774,RX,1;2;6;2;0;0
1773922730.287242,TX,1;2;5;1
1773922730.3122833,RX,1;3;5;1;0;0
1773922740.6821957,TX,1;2;200;0
1773922740.780859,RX,1;1;3
1773922740.8058236,RX,1;4;5
1773922754.531149,TX,1;2;200;0
1773922754.588266,RX,1;1;3
1773922754.6373312,RX,1;4;5
1773922834.4966915,TX,1;2;6;2
1773922834.6523125,RX,robot id: 1; command; set mode; value: 2; value2: 0; value3: 0
1773922854.7665412,TX,1;2;200;0
1773922854.849241,RX,robot id: 1; event; fault
1773922862.1688938,TX,1;2;200;0
1773922862.2544572,RX,robot id: 1; event; fault
1773922862.2913263,RX,robot id: 1; fault; not allowed
1773922879.1862245,TX,1;2;2;0
1773922879.3666894,RX,robot id: 1; command; change robot id; value: 1; value2: 200; value3: 421
1773922903.5532153,TX,1;2;2;0
1773922903.687605,RX,robot id: 1; command; change robot id; value: 1; value2: 200; value3: 421
1773922926.632393,TX,1;2;6;1
1773922926.7387164,RX,robot id: 1; event; mode changed; tag: 1
1773922926.8493443,RX,robot id: 1; command; set mode; value: 1; value2: 0; value3: 0
1773923021.4537554,TX,1;2;6;0
1773923021.5483496,RX,robot id: 1; event; fault
1773923021.621651,RX,robot id: 1; fault; bad mode
1773923026.417886,TX,1;2;6;2
1773923026.5409997,RX,robot id: 1; event; mode changed; tag: 2
1773923026.6066356,RX,robot id: 1; command; set mode; value: 2; value2: 0; value3: 0
1773923032.9467378,TX,1;2;6;0
1773923033.0083828,RX,robot id: 1; event; mode changed
